OID_,VALUE,COUNT
1,0,208618208
2,3,22483968
3,4,15871238
4,5,14484988
5,6,13990521
6,7,13794801
7,8,14495480
8,9,15166800
9,10,17227896
10,11,20317043
11,12,25927425
12,13,32634510
13,14,43038220
14,15,48221340
15,16,49654923
16,17,48770019
17,18,46042097
18,19,48730343
19,20,58276613
20,21,73163002
21,22,80453893
22,23,49553446
23,24,22828117
24,25,11259225
25,26,4703856
26,27,1271872
27,28,299001
28,29,84222
29,30,20401
30,31,3412
31,32,1001
32,33,253
33,34,10
34,101,139368089
35,102,2679
36,103,12412
