Common name,Genus,species,Mean_ht_ft,sd_ht_ft,min_ht_ft,max_ht_ft
American beech,Fagus,grandifolia,52.9,0.76,17,102
Balsam fir,Aibes,balsamea,36.2,2.82,15,59
American basswood,Tilia,americana,90,,90,90
Eastern hemlock,Tsuga,canadensis,45.1,0.95,12,114
Hophornbeam,Ostrya,virginiana,44,,44,44
Bigtooth aspen,Populus,grandidentata,78.1,3.53,66,91
Paper birch,Betula,papyrifera,58.8,2.97,19,87
Red maple,Acer,rubrum,67.5,0.94,20,115
Red oak,Quercus,rubra,79.2,6.98,71,100
Red spruce,Picea,rubens,49.3,1.75,12,95
Sugar maple,Acer,saccharum,63.5,1.18,21,114
Striped maple,Acer,pennsylvanicum,36.9,3.44,17,57
Quaking aspen,Populus,tremuloides,63.3,5.84,57,75
White ash,Fraxinus,americana,81.5,2.94,42,114
White pine,Pinus ,strobus,83.8,6.57,21,130
Yellow birch,Betula,alleghaniensis,58.7,1.31,23,93
